5d11cd3b09b4dfa9684916e1,1.1264E+18,has @mamataofficial lost it totally? first she threatens to slap modi. then she says that elections in the scorching heat is a modi plot. 
5d11cd3c09b4dfa9684918c8,1.12608E+18,today cabinet minister sh. @nitin_gadkari ji interacted with business community in amritsar. under the leadership of modi ji  we have prioritiesed ease of doing business as one of our key goals. appealed everyone to vote for nda #modihiaayega #puriforamritsar https://t.co/pmnjyul0td 
5d11cd3d09b4dfa968491ba6,1.12618E+18,use of warships for vacations of nehru-gandhi family that pm modi quotes was not limited to just rajiv gandhi misusing for his friends &amp; italian family.started from nehru himself.indira &amp; young rajiv &amp; sanjay vacationing aboard ins delhi  during his voyage to indonesia 1950 https://t.co/sedpba9tcl 
5d11cd3f09b4dfa968491e05,1.12641E+18,"@ranaayyub now don\'t tweet "" modi should resign"" "
5d11cd4109b4dfa96849205c,1.1264E+18,ek commie dost ki logic : pichle 5 saal se sabse jyada garmi badhi hai aur modi ji lic office m ac ni de rha ! wah!  sounds like mai single hun aur modi ji mujhe abhi tak ek bf ni diya ! nota m vote dalungi !  ps : she's a lic employee 
5d11cd4109b4dfa968492186,1.12611E+18,@vikasbha     @narendramodi     !! #pmmodionabp https://t.co/vqx9zgr9zc 
5d11cd4209b4dfa9684922a9,1.1264E+18,@narendramodi https://t.co/stuho48qub 
5d11cd4209b4dfa968492330,1.12638E+18,1984                 :  @nitin_gadkari #deshkishaanmodi https://t.co/auaosfjcbb 
5d11cd4309b4dfa9684926ee,1.126E+18,delhi lets run 4 @narendramodi ji on 9th may 5 pm central park inner circle cp new delhi. shri @rammadhavbjp ji &amp; @smt @smritiirani ji will flag off the run. shri @kapilmishra_ind &amp; young benguluru south mp candidate @tejasvi_surya will lead the run. @modifiedvikas @modioncemore https://t.co/eae1zjpiuq 
5d11cd4409b4dfa968492860,1.1264E+18,@narendramodi                                                          https://t.co/rx5tuojyoh 
5d11cd4509b4dfa968492a55,1.1264E+18,vice admiral vinod pasricha dismissed the claims by @narendramodi that #rajivgandhi used naval warship as private taxi.  such a desperate attempt to mislead voters before the last two phases. won't work mr. @narendramodi  #sabsebadajhootamodi https://t.co/1wbzwrrjj6 
5d11cd4609b4dfa968492b75,1.12639E+18,you have all the reasons atul to cry foul. during nehru period your foundation was laid (daddy born)  indira period you were born  rajiv period groomed you  mms period supposedly made you comedian. it was only during modi period that you got exposed as a mistake mistaken as funny https://t.co/pwrutwulqy 
